customerID,Segment,BusinessName,tenure,MonthlyCharges,PredictedChurnProbability
7590-VHVEG,4,"New, Low-Spend, High-Risk",1,29.85,0.5344144895006219
5575-GNVDE,3,"Established, Low-Spend, Low-Risk",34,56.95,0.052563038907561525
3668-QPYBK,4,"New, Low-Spend, High-Risk",2,53.85,0.27592036022563393
7795-CFOCW,3,"Established, Low-Spend, Low-Risk",45,42.3,0.03617223935723609
9237-HQITU,2,"New, High-Spend, High-Risk",2,70.7,0.6353112291507164
9305-CDSKC,2,"New, High-Spend, High-Risk",8,99.65,0.7708200846690046
1452-KIOVK,2,"New, High-Spend, High-Risk",22,89.1,0.5326801575462253
6713-OKOMC,4,"New, Low-Spend, High-Risk",10,29.75,0.35820329815939744
7892-POOKP,2,"New, High-Spend, High-Risk",28,104.8,0.5712167647553006
6388-TABGU,3,"Established, Low-Spend, Low-Risk",62,56.15,0.01314206465415555
9763-GRSKD,4,"New, Low-Spend, High-Risk",13,49.95,0.18444173642515016
7469-LKBCI,4,"New, Low-Spend, High-Risk",16,18.95,0.03274621035420264
8091-TTVAX,1,"Established, High-Spend, Low-Risk",58,100.35,0.2675190970814826
0280-XJGEX,1,"Established, High-Spend, Low-Risk",49,103.7,0.4728666717589322
5129-JLPIS,2,"New, High-Spend, High-Risk",25,105.5,0.38970442324183363
3655-SNQYZ,1,"Established, High-Spend, Low-Risk",69,113.25,0.044866230656290106
8191-XWSZG,3,"Established, Low-Spend, Low-Risk",52,20.65,0.01193261466293642
9959-WOFKT,1,"Established, High-Spend, Low-Risk",71,106.7,0.060016169026998224
4190-MFLUW,4,"New, Low-Spend, High-Risk",10,55.2,0.20404875286443655
4183-MYFRB,2,"New, High-Spend, High-Risk",21,90.05,0.5011500469160051
8779-QRDMV,2,"New, High-Spend, High-Risk",1,39.65,0.6686470989279764
1680-VDCWW,4,"New, Low-Spend, High-Risk",12,19.8,0.07434911987952536
1066-JKSGK,4,"New, Low-Spend, High-Risk",1,20.15,0.21732216413845315
3638-WEABW,3,"Established, Low-Spend, Low-Risk",58,59.9,0.015791406678667942
6322-HRPFA,3,"Established, Low-Spend, Low-Risk",49,59.6,0.03293778206891624
6865-JZNKO,4,"New, Low-Spend, High-Risk",30,55.3,0.1082234865949654
6467-CHFZW,1,"Established, High-Spend, Low-Risk",47,99.35,0.4390759826296904
8665-UTDHZ,4,"New, Low-Spend, High-Risk",1,30.2,0.47276351415652595
5248-YGIJN,1,"Established, High-Spend, Low-Risk",72,90.25,0.014683354795780553
8773-HHUOZ,4,"New, Low-Spend, High-Risk",17,64.7,0.3574458381695263
3841-NFECX,1,"Established, High-Spend, Low-Risk",71,96.35,0.02770950648662259
4929-XIHVW,2,"New, High-Spend, High-Risk",2,95.5,0.783527244356368
6827-IEAUQ,4,"New, Low-Spend, High-Risk",27,66.15,0.033806152655374566
7310-EGVHZ,4,"New, Low-Spend, High-Risk",1,20.2,0.21718757676509345
3413-BMNZE,4,"New, Low-Spend, High-Risk",1,45.25,0.4726957577046525
6234-RAAPL,1,"Established, High-Spend, Low-Risk",72,99.9,0.027079601157865247
6047-YHPVI,2,"New, High-Spend, High-Risk",5,69.7,0.6142116564480599
6572-ADKRS,1,"Established, High-Spend, Low-Risk",46,74.8,0.27122978094637223
5380-WJKOV,2,"New, High-Spend, High-Risk",34,106.35,0.5719030072376643
8168-UQWWF,2,"New, High-Spend, High-Risk",11,97.85,0.7596946871498348
8865-TNMNX,4,"New, Low-Spend, High-Risk",10,49.55,0.14083184937850396
9489-DEDVP,1,"Established, High-Spend, Low-Risk",70,69.2,0.011392798275877952
9867-JCZSP,4,"New, Low-Spend, High-Risk",17,20.75,0.04719058709606557
4671-VJLCL,1,"Established, High-Spend, Low-Risk",63,79.85,0.012480316291322667
4080-IIARD,4,"New, Low-Spend, High-Risk",13,76.2,0.2356296732154086
3714-NTNFO,1,"Established, High-Spend, Low-Risk",49,84.5,0.3958983334440301
5948-UJZLF,4,"New, Low-Spend, High-Risk",2,49.25,0.37771567990841076
7760-OYPDY,2,"New, High-Spend, High-Risk",2,80.65,0.6982145252174536
7639-LIAYI,1,"Established, High-Spend, Low-Risk",52,79.75,0.031104024999665088
2954-PIBKO,1,"Established, High-Spend, Low-Risk",69,64.15,0.005897684511050672
8012-SOUDQ,2,"New, High-Spend, High-Risk",43,90.25,0.471995440934798
9420-LOJKX,2,"New, High-Spend, High-Risk",15,99.1,0.5248804128583078
6575-SUVOI,4,"New, Low-Spend, High-Risk",25,69.5,0.22711523488817686
7495-OOKFY,2,"New, High-Spend, High-Risk",8,80.65,0.6699519355604249
4667-QONEA,1,"Established, High-Spend, Low-Risk",60,74.85,0.0181965823905488
1658-BYGOY,2,"New, High-Spend, High-Risk",18,95.45,0.7605098710129369
8769-KKTPH,1,"Established, High-Spend, Low-Risk",63,99.65,0.14295965779323053
5067-XJQFU,1,"Established, High-Spend, Low-Risk",66,108.45,0.15036429393398856
3957-SQXML,3,"Established, Low-Spend, Low-Risk",34,24.95,0.016039315725820378
5954-BDFSG,1,"Established, High-Spend, Low-Risk",72,107.5,0.08221893179125464
0434-CSFON,2,"New, High-Spend, High-Risk",47,100.5,0.5209797790863981
1215-FIGMP,1,"Established, High-Spend, Low-Risk",60,89.9,0.3092737555996033
0526-SXDJP,3,"Established, Low-Spend, Low-Risk",72,42.1,0.008052729621644945
0557-ASKVU,4,"New, Low-Spend, High-Risk",18,54.4,0.0819031759019789
5698-BQJOH,2,"New, High-Spend, High-Risk",9,94.4,0.7744927136274855
5122-CYFXA,2,"New, High-Spend, High-Risk",3,75.3,0.39965174725213454
8627-ZYGSZ,1,"Established, High-Spend, Low-Risk",47,78.9,0.1782373234985062
3410-YOQBQ,1,"Established, High-Spend, Low-Risk",31,79.2,0.056547437918146426
3170-NMYVV,3,"Established, Low-Spend, Low-Risk",50,20.15,0.00533473578793204
7410-OIEDU,2,"New, High-Spend, High-Risk",10,79.85,0.44960922263321623
2273-QCKXA,4,"New, Low-Spend, High-Risk",1,49.05,0.33283965383587916
0731-EBJQB,3,"Established, Low-Spend, Low-Risk",52,20.4,0.009724639391668923
1891-QRQSA,1,"Established, High-Spend, Low-Risk",64,111.6,0.06585354611074354
8028-PNXHQ,3,"Established, Low-Spend, Low-Risk",62,24.25,0.004515596152150373
5630-AHZIL,4,"New, Low-Spend, High-Risk",3,64.5,0.2236897645444124
2673-CXQEU,1,"Established, High-Spend, Low-Risk",56,110.5,0.2134224536008439
6416-JNVRK,3,"Established, Low-Spend, Low-Risk",46,55.65,0.0748267135567747
5590-ZSKRV,4,"New, Low-Spend, High-Risk",8,54.65,0.19210773646268675
0191-ZHSKZ,1,"Established, High-Spend, Low-Risk",30,74.75,0.2276312107559051
3887-PBQAO,3,"Established, Low-Spend, Low-Risk",45,25.9,0.019027579558469274
5919-TMRGD,2,"New, High-Spend, High-Risk",1,79.35,0.6558265327694238
8108-UXRQN,4,"New, Low-Spend, High-Risk",11,50.55,0.4346101406620959
9191-MYQKX,2,"New, High-Spend, High-Risk",7,75.15,0.5870408523511187
9919-YLNNG,1,"Established, High-Spend, Low-Risk",42,103.8,0.34513460356726317
